PLAYER_ID,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
1628436,1979,1321,415,128,332,1504,794,299,228,142,399
1630249,770,335,271,73,41,600,279,75,57,104,138
1630228,3225,1037,456,165,110,2387,1211,862,600,362,258
1628398,10174,3783,1598,340,300,8638,3873,1810,1287,1320,606
1631222,1400,709,395,165,62,1072,475,348,253,235,202
203897,15314,2980,2905,629,195,11554,5477,3110,2588,1933,728
1627746,1141,707,164,58,105,925,457,259,190,162,174
1629111,1195,727,215,59,87,899,466,251,192,142,221
1641796,251,92,65,32,7,203,89,61,41,24,55
1630639,484,178,55,27,9,399,178,102,62,35,98
1627747,9984,2612,2813,722,284,8426,3710,2037,1513,1204,693
1627814,2467,1002,421,195,28,1973,855,421,371,248,315
203458,5543,4300,726,300,748,4151,2160,1618,1085,868,855
202695,14733,4662,2236,1255,471,10736,5352,3306,2842,1212,733
1642502,2,3,1,0,0,2,0,4,2,1,6
1641721,243,114,44,20,15,237,94,23,16,38,90
1630604,25,14,4,3,3,21,9,4,4,4,20
203081,22598,3845,6069,874,267,16568,7266,5853,5262,2541,900
1641726,797,648,145,56,133,487,355,154,87,91,91
1641753,56,56,10,7,0,49,20,20,15,11,42
1626172,2977,3391,956,304,322,2189,1258,738,449,350,599
201572,17517,6737,1614,633,2060,13447,6680,3865,3082,1751,1105
201567,15930,9896,2288,593,380,12008,5239,4437,3679,1749,1014
200768,17427,5344,7627,1627,389,13211,5602,4779,3895,2830,1310
1641754,14,7,0,0,0,17,4,4,3,1,9
1626168,5721,3205,785,289,261,4580,2034,1248,940,590,725
1630572,1255,786,243,66,62,1011,465,228,164,130,234
1629611,3848,1650,911,274,106,2962,1485,634,489,364,479
1630544,2089,662,580,196,33,1882,788,276,216,288,222
1628374,8200,3201,657,314,222,6207,2824,1626,1410,625,450
1630230,2637,1137,675,232,55,2128,970,589,463,358,299
1628997,2961,1388,604,317,155,2465,1094,586,419,367,356
1628998,1951,1185,685,312,136,1719,744,377,252,293,312
1641798,156,88,34,18,0,148,62,20,18,24,32
1630231,3150,1503,470,183,179,2325,1267,605,407,301,412
1631213,544,231,124,35,9,488,198,60,48,76,76
1629726,2294,626,249,188,65,1639,656,535,452,147,368
1631097,3314,935,371,130,51,2467,1100,1010,836,384,209
1631255,325,209,46,22,41,235,135,44,34,43,42
1630178,6202,952,1403,290,107,4847,2235,1196,1036,449,318
1630540,1484,353,414,168,33,1324,536,168,131,101,236
1642272,352,56,60,15,0,274,126,56,49,37,23
1630644,41,17,14,2,2,34,15,7,5,9,8
203468,16784,3136,3320,774,348,14130,6407,2277,1799,1553,849
204456,5396,2054,3542,849,133,4663,2407,527,410,1126,706
1641755,6,8,2,1,1,7,2,2,2,0,4
1630183,3784,1526,562,334,306,3099,1494,467,351,416,366
1629667,2454,1175,422,248,118,2031,916,466,371,308,332
203926,7571,1893,871,194,86,6068,2830,828,664,558,908
1631121,561,198,107,37,16,446,185,171,131,77,118
1629162,1270,445,858,241,33,1054,468,189,141,204,334
1629098,14,5,1,0,2,17,5,0,0,2,9
1629001,3231,1316,988,502,172,2810,1152,494,385,488,356
1630241,1133,323,246,84,19,935,379,67,62,66,173
203995,1382,354,780,92,14,1286,508,232,190,352,202
203114,13341,3837,3216,938,159,10524,4848,2493,2188,1672,813
1641706,1847,446,273,95,62,1574,674,252,211,208,101
1641801,10,8,2,1,0,8,4,2,2,0,6
1641757,165,63,34,17,5,143,63,37,30,27,45
1631159,49,31,8,4,2,35,19,10,9,3,30
201988,8242,1548,2070,614,84,6969,2937,898,772,894,982
1629003,3430,962,1018,208,83,2835,1270,653,536,436,464
1631303,96,81,32,17,16,118,37,12,5,18,57
1642434,0,2,0,0,0,1,0,0,0,0,1
1631169,215,89,31,24,23,162,79,41,37,16,93
1642274,665,601,99,37,98,492,269,204,127,82,73
1642349,234,68,64,25,4,184,91,35,29,29,36
1630558,2866,700,1358,260,74,2517,1125,326,227,475,375
1628378,13320,2324,2530,740,173,10512,4720,2692,2262,1447,539
1630596,4412,2408,784,222,419,3235,1772,1032,716,514,269
1642367,389,311,146,55,34,356,156,82,60,70,63
1628370,6444,1377,1657,317,174,5352,2321,1019,864,844,523
1630541,1787,570,227,126,72,1398,628,315,244,145,255
1631386,24,16,6,4,0,29,10,4,2,5,6
1631111,360,220,108,53,16,313,145,49,40,66,126
1629630,6942,1448,2267,315,86,5344,2507,1975,1513,1037,307
202693,10136,4776,1553,730,461,8860,3889,1880,1459,1409,1021
1628420,4144,1046,1579,322,82,3450,1624,486,399,313,453
1630530,3448,976,462,219,117,2537,1152,622,544,214,251
1627749,7803,2925,2718,741,139,6853,3106,1249,987,1061,503
1627750,9623,2018,2509,542,197,7799,3551,1580,1375,1086,536
1631099,3090,1298,336,201,170,2577,1161,277,225,184,233
1631200,663,406,148,88,38,645,262,113,63,98,131
1629004,3083,841,662,257,50,2716,1094,369,275,423,471
1631250,79,45,20,5,4,70,29,6,2,9,34
1626204,5098,4041,1180,752,326,3864,2096,925,640,592,658
1629614,1988,556,947,212,30,1705,791,254,202,339,208
1630174,2570,946,305,190,114,1964,909,413,342,230,288
1641803,6,8,4,2,0,16,2,2,2,4,16
1627777,4830,1626,645,204,92,3892,1741,355,299,461,623
1630227,331,138,181,51,7,329,117,74,44,121,99
1630192,1053,566,100,81,116,776,395,248,162,102,251
1641936,7,9,0,2,1,9,2,2,1,0,3
1629669,1896,469,399,103,36,1655,731,292,231,154,218
203994,8106,6084,1706,626,755,6348,3178,2414,1589,1501,706
1626220,4852,3250,1655,542,307,4071,1717,440,336,673,679
1626143,2742,1255,238,76,213,2154,1169,585,397,368,276
1629643,1295,798,306,183,90,1213,474,139,109,134,207
1629006,2924,1343,513,436,193,2308,946,976,729,377,456
1630168,2960,2058,394,205,328,1921,1180,695,525,289,307
1630171,2708,930,536,263,126,2091,976,598,437,263,334
1642439,3,0,1,0,0,5,1,0,0,1,2
203482,10230,5230,2653,818,461,7459,3659,2215,1773,1640,992
1626162,9743,3357,831,770,385,8047,3533,2106,1587,831,724
101108,23011,5978,12499,2717,222,17352,8147,5579,4857,3093,1354
1626166,4691,1188,1893,386,122,4236,1768,542,452,667,626
203901,6003,2439,3592,719,195,5577,2495,1264,791,1370,611
1627780,1651,876,363,290,86,1270,699,168,104,184,315
1641809,65,41,14,7,2,47,21,9,7,9,28
1641763,455,205,52,45,27,364,160,95,73,37,119
1629618,242,85,128,23,5,215,92,12,9,33,76
1630590,1064,330,447,141,41,809,389,235,168,196,106
1631342,43,11,2,0,0,25,16,2,2,4,6
203486,8617,7072,2574,711,842,5676,3383,3172,1849,1449,1020
1641764,1429,752,493,130,27,1226,551,174,122,163,138
1627751,6208,4806,1280,447,843,4341,2737,1303,731,846,667
1629673,6942,1110,1552,356,115,5555,2343,1412,1241,956,412
1641854,473,176,189,38,30,368,188,88,64,83,102
1629645,4550,1398,1499,378,87,3784,1654,990,733,836,346
1629008,5597,2209,485,206,201,4247,2123,639,508,402,345
1626171,8528,5088,922,430,267,7252,3445,1076,826,790,704
204001,10869,4299,1032,402,993,8253,3805,2677,2231,916,552
1642366,340,148,56,16,18,274,123,27,21,33,42
1630695,251,232,41,20,21,201,91,30,25,39,64
203939,4844,3045,741,425,315,2983,1793,1535,1131,477,734
1626181,10293,2008,1166,631,201,7576,3567,2201,1823,961,731
1627752,6134,2233,1081,503,247,5102,2173,906,738,850,623
1630202,3153,952,883,185,36,2537,1151,222,190,278,347
1641765,322,205,62,33,10,278,110,117,77,22,92
1642389,0,0,0,0,0,1,0,0,0,0,3
1630243,256,107,66,45,21,247,92,42,36,43,62
1629674,521,400,72,32,73,354,222,108,77,60,110
1630193,5698,1356,1534,287,53,4466,1892,1241,1064,517,392
1631311,346,113,86,13,6,302,120,61,46,50,67
203944,13517,6492,2710,486,284,10384,4896,3816,2875,1994,710
1641871,811,342,93,45,52,665,300,115,89,68,114
1630559,4052,1067,1196,209,86,2785,1339,1021,881,490,280
1629629,3035,871,402,347,119,2585,1046,662,555,381,343
1630194,1275,1026,208,195,187,1005,551,200,141,160,260
1642024,152,94,8,20,20,108,52,24,18,12,30
1641810,305,63,39,21,4,248,113,35,28,30,44
1629675,4699,1983,542,256,367,3651,1779,786,572,484,406
1631197,364,154,50,27,18,284,134,64,55,28,59
1630208,2407,1984,205,74,276,1482,931,736,544,321,314
1626196,7701,2045,1752,691,346,6521,2800,1198,1019,884,684
1642258,942,268,92,52,37,779,357,149,106,92,75
1641857,9,12,2,2,2,8,2,10,5,6,13
1629130,4798,1113,777,225,75,3751,1628,389,340,424,423
1629011,2636,2639,212,306,620,1614,1129,724,378,234,337
1631115,821,650,213,53,52,683,315,196,149,132,155
1630526,1191,845,201,102,37,1014,447,167,133,125,197
1631223,1622,783,289,111,59,1488,624,253,175,215,266
1631157,460,146,138,63,24,345,167,85,68,85,94
1642050,22,11,4,4,0,17,8,6,3,1,6
1626179,10457,2857,2679,677,185,9044,3805,1610,1342,1003,726
1641712,310,162,87,28,7,303,112,55,42,61,91
1626156,13902,2670,4605,840,272,11583,4962,2415,1937,2087,803
1630346,427,100,53,19,3,365,140,40,35,36,116
1627734,11572,7632,3485,555,324,8039,4511,3012,2201,1857,708
1642275,353,280,74,29,14,345,114,94,67,58,60
1641766,44,42,1,1,0,34,18,12,8,6,13
1630611,309,221,94,29,12,234,110,59,45,49,79
1642259,869,435,161,44,101,828,326,165,112,114,67
1631204,961,194,369,81,16,808,356,117,101,144,128
1631248,113,65,33,17,2,110,39,12,9,12,31
203471,14707,3088,5285,876,158,12429,5347,3108,2602,2324,1062
1630578,4583,2446,1160,289,245,3449,1785,1300,911,694,286
1641729,1013,312,165,59,14,817,360,114,102,154,103
1629012,7658,1144,1505,317,53,5921,2784,1764,1479,951,407
1629013,4035,796,714,227,66,3250,1352,536,444,309,477
1630545,138,47,32,7,5,114,55,21,17,15,32
1630549,1237,1079,230,90,133,931,512,293,190,205,191
1631101,2634,720,386,128,52,2186,981,466,363,305,184
1642347,533,115,316,58,10,504,204,69,53,117,75
1641767,584,266,138,71,16,516,210,53,47,37,120
1642263,229,78,75,35,17,239,84,16,13,37,52
1627783,13062,4748,2603,632,399,9957,5013,2978,2259,1273,709
1627732,5277,3081,3039,606,278,3943,2192,1492,888,1253,434
1629014,5837,973,1265,200,48,4804,2069,832,732,627,389
1642354,282,109,112,34,6,301,104,50,41,56,36
1630579,556,952,137,54,107,358,250,95,56,129,244
203935,7040,2254,3004,1033,237,6100,2369,1614,1251,1252,669
1630696,214,98,81,50,17,184,82,20,17,28,53
1630188,2760,1739,246,86,228,2061,1040,541,409,244,322
1642449,14,8,0,0,0,9,6,3,2,2,1
1641890,67,25,4,3,4,50,24,8,6,8,23
1631095,2752,1584,282,120,176,2291,990,517,416,254,212
1641733,893,200,204,27,13,857,335,61,56,121,111
1631110,2092,1123,519,150,90,1797,841,385,279,321,184
1642285,106,30,34,9,1,82,34,19,19,6,25
1630311,102,50,53,14,3,105,43,15,11,19,45
1630531,588,288,162,127,43,512,206,168,130,104,202
1641815,0,2,0,1,0,2,0,0,0,0,3
1630205,1494,759,166,126,97,1286,592,302,222,149,258
1630191,2631,2177,407,126,337,2037,1033,516,378,354,307
1631124,815,203,130,56,23,708,292,121,96,80,115
1629622,3209,1057,728,171,71,2645,1129,298,242,301,309
1630591,2598,702,698,283,126,2187,917,548,427,471,211
1631306,169,68,15,9,5,173,62,4,2,16,45
1630256,2449,1226,595,246,106,1960,967,486,340,343,296
1628369,13784,4293,2243,639,384,10429,4789,3167,2660,1389,585
1630678,542,304,73,25,22,410,233,78,52,48,129
202066,5361,1981,1419,710,283,4752,1907,969,714,788,897
1631207,591,274,200,82,38,497,221,133,88,93,170
1628464,4291,2767,724,272,478,3198,1713,784,562,479,583
1630560,3255,553,442,113,33,2603,1144,764,657,304,215
1641708,1562,973,428,175,127,1143,627,402,275,228,131
1641709,1150,705,254,166,99,940,478,261,162,164,122
1630679,0,0,0,0,0,0,0,0,0,0,0
202691,16536,3041,1988,726,443,13657,6155,1778,1529,1424,865
202684,7166,6716,834,401,547,5575,2899,2305,1357,913,876
1630550,670,437,96,57,79,594,249,131,86,87,205
1629680,1991,850,441,625,311,1719,752,202,134,223,418
1630214,1673,1189,394,264,170,1432,708,317,176,205,314
1631166,109,65,20,4,1,102,45,16,10,15,9
1641772,36,21,2,0,1,32,13,11,8,2,5
1642260,0,0,0,0,0,0,0,0,0,0,0
1631210,59,37,15,4,1,53,23,2,2,7,43
1630167,3074,1231,428,158,131,2279,1191,411,317,254,362
1626157,14880,7136,2037,523,771,10424,5460,3395,2843,1745,645
1642422,14,15,1,4,2,19,6,7,2,3,9
1631247,12,20,8,1,1,20,5,2,2,8,12
1629018,6586,1135,679,536,85,5586,2351,861,704,328,473
1631131,133,138,11,15,2,90,52,39,29,10,22
200782,6648,5538,1401,1114,309,5727,2414,1085,817,930,1050
1626167,9031,4349,813,440,1412,6683,3336,2078,1603,909,642
1641816,154,87,22,11,6,140,53,28,21,16,69
1642281,167,96,44,13,3,149,64,24,19,26,47
1630649,144,68,15,12,14,111,42,38,33,17,47
202685,13885,9769,1535,435,967,9904,5542,3183,2541,1741,1067
1627832,8204,1884,3121,757,253,6885,2763,1498,1292,910,550
1629020,2439,2517,622,412,152,1769,986,597,389,399,398
1630170,4280,1144,788,319,132,3607,1602,571,460,333,303
1629216,1990,433,569,210,32,1819,721,178,148,271,278
1641774,415,166,52,16,30,309,149,89,69,52,45
202696,18358,10987,3081,886,892,15729,7796,2182,1692,1796,1042
1629731,1482,1001,284,176,98,1221,523,149,101,108,283
1630532,5552,1408,1067,296,100,4350,2063,1171,1002,561,291
1629021,3638,1582,489,211,127,2488,1291,947,765,461,408
1631133,1167,850,142,85,41,936,435,287,212,129,188
1641716,581,292,150,69,36,470,215,78,54,95,108
1629022,3418,791,518,184,93,3007,1268,484,385,306,342
1641717,1129,416,293,196,72,931,449,74,59,104,150
1630811,168,50,81,28,9,162,65,11,11,33,31
1641775,97,89,24,17,12,98,36,14,8,20,61
1642266,449,160,81,43,10,393,159,83,66,50,52
1642276,595,473,60,39,71,464,257,67,46,57,64
1629023,6060,2693,1019,450,441,5072,2263,1024,722,723,463
1631102,194,63,68,21,2,225,78,24,13,19,58
1630322,1062,408,180,92,48,955,374,49,38,68,208
1630570,1705,791,407,107,71,1251,651,413,313,261,217
1641817,8,3,2,1,0,9,4,0,0,2,9
1631212,1158,528,191,92,192,934,441,263,177,122,171
1642377,823,268,135,44,8,676,287,135,111,69,79
1641705,2638,1261,442,140,430,2043,959,556,450,409,117
1631104,669,237,378,91,20,616,252,183,116,174,156
201566,27364,9100,10476,2031,439,22481,9860,8059,6188,5084,1310
1630762,8,8,2,1,2,21,3,2,2,1,5
1629632,6405,1539,1618,292,72,5262,2278,999,864,752,422
1628401,7391,2069,2431,469,504,5737,2550,1443,1232,813,569
1641727,117,33,15,6,2,101,40,7,4,15,22
1641715,1056,331,82,61,30,870,391,184,130,92,98
1630598,2351,869,368,185,62,1805,909,316,251,234,274
203952,16422,3968,2111,847,621,13530,6076,3967,2882,1656,880
1631214,10,2,1,0,1,10,4,1,1,4,9
1630314,638,145,187,49,16,524,223,180,134,104,74
1642262,230,113,59,23,16,257,83,40,29,44,50
1629684,3508,1711,726,247,239,2699,1222,639,492,496,456
1631114,3901,988,924,294,126,2955,1515,711,571,396,215
1631119,842,737,306,78,68,683,294,125,94,106,165
1629026,2490,1609,695,297,100,2134,1004,255,140,283,391
1631109,1300,935,149,76,119,849,528,324,244,128,106
1631466,181,51,26,15,7,151,78,24,14,22,47
1630172,2636,1126,404,233,190,2182,987,420,323,358,276
1630533,1763,675,259,147,55,1518,639,275,223,211,213
1629057,1691,1603,325,172,388,1039,751,279,188,204,235
1631246,730,403,234,65,43,586,248,156,125,130,94
1629627,5279,1415,920,219,138,3468,2041,1690,1165,608,214
1630592,963,401,190,51,9,799,322,211,173,98,122
1630164,1800,1097,140,37,129,1355,758,384,264,228,193
1631209,122,32,28,11,0,108,42,34,25,18,21
1626153,5289,2337,2358,933,271,4389,1938,1122,892,673,773
1627824,941,500,179,70,36,701,343,182,130,114,144
1642385,3,2,0,0,0,7,1,2,1,0,5
1642443,11,3,6,0,0,5,4,2,2,1,6
1629027,12220,1687,4748,505,74,8935,3865,3679,3213,2051,483
1627826,6478,5104,857,232,626,4367,2669,1556,1139,775,643
1641783,533,245,113,33,18,483,199,63,55,56,74
1628427,485,251,123,39,22,381,180,72,61,74,143
203967,6333,3290,1141,343,113,5089,2257,1209,1018,873,631
